school,school_year,file_family,count_date,file_updated,_source,_page,_raw_line,headcount_prior_year_as_printed,funded_headcount,funded_fte,PK,K,G1,G2,G3,G4,G5,fte_prior_year_as_printed,fte_K,fte_G1,fte_G2,fte_G3,fte_G4,fte_G5,ELL_n,ELL_pct,free_lunch_n,free_lunch_pct,reduced_lunch_n,reduced_lunch_pct,SPED_n,SPED_pct,504_n,504_pct,TAG_n,TAG_pct,out_of_district_n,out_of_district_pct,female_n,female_pct,male_n,male_pct,american_indian_n,american_indian_pct,asian_n,asian_pct,african_american_n,african_american_pct,hispanic_n,hispanic_pct,caucasian_n,caucasian_pct,native_hawaiian_n,native_hawaiian_pct,multi_n,multi_pct
Bear Creek,2014-15,fte,"October 1, 2014",11/14/2014,data/raw/bvsd/pupil_count/2014-15_fte_summary.pdf,1,Bear Creek Elementary 376.5 386.5 417 0.0 29.0 77.5 64.5 86.0 74.5 55.0,,417.0,386.5,,,,,,,,376.5,0.0,29.0,77.5,64.5,86.0,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Creek,2014-15,headcount,"October 1, 2014",11/14/2014,data/raw/bvsd/pupil_count/2014-15_cde_headcount_summary.pdf,1,Bear Creek Elementary 414 417 386.5 0 58 78 65 86 75 55,414.0,417.0,386.5,0.0,58.0,78.0,65.0,86.0,75.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Creek,2014-15,special_programs,,2/25/2015,data/raw/bvsd/pupil_count/2014-15_special_programs_summary.pdf,1,119 BEAR CREEK ELEMENTARY 417 386.5 7 1.7% 7 1.7% 8 1.9% 25 6.0% 4 1.0% 53 12.7% 0 0.0% 202 48.4% 215 51.6% 0 0.0% 31 7.4% 3 0.7% 19 4.6% 316 75.8% 0 0.0% 48 11.5%,,417.0,386.5,,,,,,,,,,,,,,,7.0,1.7,7.0,1.7,8.0,1.9,25.0,6.0,4.0,1.0,53.0,12.7,0.0,0.0,202.0,48.4,215.0,51.6,0.0,0.0,31.0,7.4,3.0,0.7,19.0,4.6,316.0,75.8,0.0,0.0,48.0,11.5
Bear Creek,2015-16,fte,"October 1, 2015",11/23/2015,data/raw/bvsd/pupil_count/2015-16_fte_summary.pdf,1,Bear Creek Elementary 386.5 407.0 441 0.0 34.0 61.0 83.0 67.0 85.0 77.0,,441.0,407.0,,,,,,,,386.5,0.0,34.0,61.0,83.0,67.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Creek,2015-16,headcount,"October 1, 2015",11/23/2015,data/raw/bvsd/pupil_count/2015-16_cde_headcount_summary.pdf,1,Bear Creek Elementary 417 441 407.0 0 68 61 83 67 85 77,417.0,441.0,407.0,0.0,68.0,61.0,83.0,67.0,85.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Creek,2015-16,special_programs,,11/23/2015,data/raw/bvsd/pupil_count/2015-16_special_programs_summary.pdf,1,119 BEAR CREEK ELEMENTARY 441 407.0 9 2.0% 9 2.0% 6 1.4% 18 4.1% 5 1.1% 54 12.2% 0 0.0% 218 49.4% 223 50.6% 0 0.0% 30 6.8% 2 0.5% 22 5.0% 343 77.8% 0 0.0% 44 10.0%,,441.0,407.0,,,,,,,,,,,,,,,9.0,2.0,9.0,2.0,6.0,1.4,18.0,4.1,5.0,1.1,54.0,12.2,0.0,0.0,218.0,49.4,223.0,50.6,0.0,0.0,30.0,6.8,2.0,0.5,22.0,5.0,343.0,77.8,0.0,0.0,44.0,10.0
Bear Creek,2016-17,fte,"October 5, 2016",11/17/2016,data/raw/bvsd/pupil_count/2016-17_fte_summary.pdf,1,Bear Creek Elementary 407.0 407.5 438 0.0 30.5 66.0 65.5 88.5 70.0 87.0,,438.0,407.5,,,,,,,,407.0,0.0,30.5,66.0,65.5,88.5,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Creek,2016-17,headcount,"October 5, 2016",11/17/2016,data/raw/bvsd/pupil_count/2016-17_cde_headcount_summary.pdf,1,Bear Creek Elementary 441 438 407.5 0 60 66 66 89 70 87,441.0,438.0,407.5,0.0,60.0,66.0,66.0,89.0,70.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Creek,2016-17,special_programs,,,data/raw/bvsd/pupil_count/2016-17_special_programs_summary.pdf,1,119 BEAR CREEK ELEMENTARY 438 407.5 11 2.5% 11 2.5% 5 1.1% 22 5.0% 4 0.9% 32 7.3% 2 0.5% 223 50.9% 215 49.1% 0 0.0% 32 7.3% 2 0.5% 26 5.9% 337 76.9% 1 0.2% 40 9.1%,,438.0,407.5,,,,,,,,,,,,,,,11.0,2.5,11.0,2.5,5.0,1.1,22.0,5.0,4.0,0.9,32.0,7.3,2.0,0.5,223.0,50.9,215.0,49.1,0.0,0.0,32.0,7.3,2.0,0.5,26.0,5.9,337.0,76.9,1.0,0.2,40.0,9.1
Bear Creek,2017-18,fte,"October 2, 2017",12/04/2017,data/raw/bvsd/pupil_count/2017-18_fte_summary.pdf,1,Bear Creek Elementary 407.5 411.5 448 0.0 35.0 73.0 74.0 66.5 90.0 73.0,,448.0,411.5,,,,,,,,407.5,0.0,35.0,73.0,74.0,66.5,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Creek,2017-18,headcount,"October 2, 2017",12/04/2017,data/raw/bvsd/pupil_count/2017-18_cde_headcount_summary.pdf,1,Bear Creek Elementary 438 448 411.5 0 70 73 74 67 91 73,438.0,448.0,411.5,0.0,70.0,73.0,74.0,67.0,91.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Creek,2017-18,special_programs,,12/15/2017,data/raw/bvsd/pupil_count/2017-18_special_programs_summary.pdf,1,119 BEAR CREEK ELEMENTARY 448 411.5 10 2.2% 11 2.5% 2 0.4% 39 8.7% 5 1.1% 23 5.1% 2 0.4% 225 50.2% 223 49.8% 0 0.0% 32 7.1% 3 0.7% 22 4.9% 352 78.6% 0 0.0% 39 8.7%,,448.0,411.5,,,,,,,,,,,,,,,10.0,2.2,11.0,2.5,2.0,0.4,39.0,8.7,5.0,1.1,23.0,5.1,2.0,0.4,225.0,50.2,223.0,49.8,0.0,0.0,32.0,7.1,3.0,0.7,22.0,4.9,352.0,78.6,0.0,0.0,39.0,8.7
Bear Creek,2018-19,fte,"October 3, 2018",11/21/2018,data/raw/bvsd/pupil_count/2018-19_fte_summary.pdf,1,Bear Creek Elementary 411.5 399.5 425 0.0 24.0 77.0 70.5 73.0 71.5 83.5,,425.0,399.5,,,,,,,,411.5,0.0,24.0,77.0,70.5,73.0,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
